Place_Id,Place_Name,Culinary_Ratings,Category,Address,Description,Coordinate,Lat,Long,Gmaps_Address,Image_Address
12,Feast Restaurant,4.5,Western,"Coblong, Kota Bandung","Dengan desain minimalisnya, garis prasmanan di restoran Feast terlihat lebih elegan melalui gaya yang stylish. Menawarkan sarapan, makan malam prasmanan, brunch, dan A la carte, restoran Feast bisa menjadi pilihan terbaik untuk Anda dan keluarga Anda.","{'lat':-6.870960535935802, 'lng':107.61928251022222}",-6.870960536,107.6192825,https://maps.app.goo.gl/apPZ5SSU4sA9wKfX9,https://lh5.googleusercontent.com/p/AF1QipNItXToMLXDCC8akJTbI3QBuXmr9FTGGOnPPAgv=w115-h92-k-no
13,The Restaurant - Padma Hotel Bandung,4.6,Western,"Cidadap, Kota Bandung","Baru-baru ini direka ulang, The Restaurant adalah outlet makan sepanjang hari yang terkini di Padma Hotel Bandung. Terletak dengan pemandangan lembah yang hijau, konsep baru ini dirancang untuk meningkatkan pengalaman makan Anda, baik itu sarapan, makan siang, teh sore, atau saat berbagi makan malam romantis dengan pemandangan yang mempesona. Nikmati koleksi camilan ringan yang indah, hidangan Asia dan Eropa, disertai dengan berbagai kopi panggang, teh pilihan, jus segar, anggur terpilih, dan cerutu. The Restaurant juga merupakan tempat yang ideal untuk pertemuan informal dan perayaan.","{'lat':-6.856863427890192, 'lng':107.6090095714825}",-6.856863428,107.6090096,https://maps.app.goo.gl/oFiZ1kVfbqhcCteu6,https://lh5.googleusercontent.com/p/AF1QipOrcFn1n1O0iqZctXfJ0Di3vYUk8k30MzDsjJtZ=w122-h92-k-no
14,Alas Daun Restaurant,4.3,Sundanese,"Bandung Wetan, Kota Bandung","Dengan tagline ""Makan Tanpa Piring,"" restoran ini menawarkan pengalaman unik di mana setiap pengunjung menikmati hidangan mereka dengan menggunakan daun pisang sebagai alas di setiap meja. Pelayan akan berkeliling dan menuangkan nasi serta pilihan kuah, seperti kuah cumi atau rendang, sesuai dengan porsi yang diinginkan oleh masing-masing pengunjung.","{'lat':-6.8903379610906255, 'lng':107.62502508548927}",-6.890337961,107.6250251,https://maps.app.goo.gl/1sq8roCpChtLAij96,https://lh5.googleusercontent.com/p/AF1QipOv2rhkmDqZz9o8f5iBlcpbaP4jOQ1XoH3dpagp=w163-h92-k-no
15,Gormeteria,4.6,Western,"Cicendo, Kota Bandung","Berlokasi di lantai pertama The Hotel Kaliki, Gormeteria adalah Cafetaria kontemporer yang menarik di pusat Kota Bandung. Tempat ini menawarkan beragam hidangan dan minuman berkualitas tinggi. Desain interiornya bergaya industri, dilengkapi dengan mural sepanjang 18 meter yang menggambarkan habitat Gorila. Gormeteria juga menonjolkan dapur terbuka yang mewah, serta kursi makan yang dirancang untuk memberikan pengalaman gourmet yang maksimal.","{'lat':-6.892430041067953, 'lng':107.59594428374015}",-6.892430041,107.5959443,https://maps.app.goo.gl/B8zAJF8ehMBhyUYJ8,https://lh5.googleusercontent.com/p/AF1QipPVcPzQa6frGwe_icEjxWsnEHLUOL-ItbvfufRL=w163-h92-k-no
16,Cocorico Cafe and Resto,4.4,Cafe,"Cimenyan, Kabupaten Bandung","Keunikan tempat ini yakni mengusung konsep cafe kebun yang menyajikan pemandangan dari atas puncak bukit kota Bandung. Dengan desain arsitektur yang unik namun tetap mengedepankan sisi modern nan indah, membuat tempat ini diminati oleh tiap kalangan seperti anak muda, keluarga, maupun turis.","{'lat':-6.8551896393990095, 'lng':107.63008261622825}",-6.855189639,107.6300826,https://maps.app.goo.gl/VuL5MPDYmWGWHjtM9,https://lh5.googleusercontent.com/p/AF1QipOgaOs-mYUJ0cOjgCTes9hmrg5dJ3fu51qK_H5N=w80-h100-k-no
17,Rose Flower Restaurant,4.5,Seafood,"Lengkong, Kota Bandung","Rose Flower Restaurant menyediakan menu masakan oriental, utamanya seafood, dengan citarasa tak kalah dari masakan Chinese original. Porsinya pun terkenal besar dengan harga menu yang sebanding.","{'lat':-6.910839946395775, 'lng':107.61870317206555}",-6.910839946,107.6187032,https://maps.app.goo.gl/eeG6sbubabETHZyo6,https://lh5.googleusercontent.com/p/AF1QipNHqX92mYppEr7lExtMmT4O_XV59-IHyftzXEre=w122-h92-k-no
18,Congo Gallery & Cafe,4.6,Indonesian,"Cibeunying Kaler, Kota Bandung",Restoran modern dengan hidangan lokal disajikan di tempat elegan bernuansa kayu dengan latar belakang rimbun.,"{'lat':-6.858955655235582, 'lng':107.62671092906893}",-6.858955655,107.6267109,https://maps.app.goo.gl/pmV3PDsQtJXJJgrD9,https://lh5.googleusercontent.com/p/AF1QipNnJR443D7uRzs2gu6VPYzWNlmiRfZpNZIGQnCV=w138-h92-k-no
19,Kalpa Tree Dine and Chill,4.4,Western,"Cidadap, Kota Bandung","Restoran internasional trendi dan luas dengan dinding kaca, tanaman & anggur, serta kolam renang & taman.","{'lat':-6.855608087072957, 'lng':107.61027395416725}",-6.855608087,107.610274,https://maps.app.goo.gl/SEWqLEASi58NKdeB8,https://lh5.googleusercontent.com/p/AF1QipPCfniOdieo6PveZWe7jbEEcjzhd42T6Y_SH3Vn=w163-h92-k-no
20,Bebek Kaleyo Bandung,4.5,Indonesian,"Cicendo, Kota Bandung","Restoran yang luas ini menyajikan berbagai menu bebek, ayam & aneka sambal, serta melayani pesan antar.","{'lat':-6.89619576175592, 'lng':107.59847304910964}",-6.896195762,107.598473,https://maps.app.goo.gl/dPJPRgFqG4rZDLAB8,https://lh5.googleusercontent.com/p/AF1QipMTH0aAaCZPAPfgp7pBcIdh42coaF3MUm-YUKk=w122-h92-k-no
21,Tizi Cake Shop & Restaurant,4.5,Western,"Coblong, Kota Bandung","Tizi menyajikan berbagai pilihan steak dalam menu hidangan utamanya. Daging yang disajikan di sini meliputi daging sapi, ikan dory, dan ayam. Anda dapat memilih antara Sirloin Steak, Tenderloin Steak, Steak Burger, Bratwurst (sosis Jerman), dan favorit saya sepanjang masa: Wiener Schnitzel. Atau Fish Fillet Tarragon jika Anda menginginkan hidangan ikan. Untuk Anda yang lebih suka ayam, tersedia Oven-Baked Chicken dan Oriental Grilled Chicken. Satu hidangan yang mencolok di menu ini adalah Lidah dengan Saus Jamur. Setiap hidangan disajikan dengan sayuran yang dimasak dan pilihan kentang goreng atau kentang tumbuk sesuai selera Anda. Keduanya enak.","{'lat':-6.873600989182598, 'lng':107.61406710222148}",-6.873600989,107.6140671,https://maps.app.goo.gl/k51vqXr6hy2b3HyN8,https://lh5.googleusercontent.com/p/AF1QipPUbMNCi5c1cywT3aaPBEhACyWg9rQs3nGbhDf-=w137-h92-k-no
22,Glosis Restaurant,4.5,Western,"Bandung Wetan, Kota Bandung","Glosis Restaurant adalah destinasi kuliner yang menyajikan hidangan Western dengan sentuhan khas yang memikat lidah. Terletak di Jl. Citarum No.12, restoran ini menawarkan pengalaman makan yang tak terlupakan dengan rating 4.5. Suasana yang nyaman dan elegan menciptakan atmosfer yang ideal untuk bersantap, baik itu dalam acara romantis, pertemuan bisnis, atau hanya untuk menikmati waktu bersama keluarga dan teman. Menu Glosis Restaurant menggabungkan keahlian dalam memasak Western dengan bahan-bahan berkualitas, menghasilkan hidangan lezat yang memanjakan selera setiap pengunjung. Dengan pelayanan ramah dan profesional, Glosis Restaurant menjadi pilihan utama bagi pecinta kuliner yang mencari pengalaman kuliner yang istimewa di tengah kota.","{'lat':-6.896614173318232, 'lng':107.62249632011978}",-6.896614173,107.6224963,https://maps.app.goo.gl/AGYdDjPYAiooGRBP6,https://lh5.googleusercontent.com/p/AF1QipOaNlvPyYmqgnBWsGi1Kr9pKpHeHkkN5qYAC6DU=w163-h92-k-no
23,Hummingbird Eatery & Space,4.6,Indonesian,"Bandung Wetan, Kota Bandung","Hummingbird Eatery & Space adalah tempat kuliner yang menawarkan pengalaman makan yang unik dan memuaskan dengan rating 4.6, terletak di Jl. Progo No.16. Restoran ini tidak hanya menghidangkan hidangan lezat, tetapi juga menciptakan ruang yang nyaman dan menarik untuk dinikmati bersama keluarga, teman, atau bahkan untuk pertemuan bisnis yang santai. Dengan suasana yang hangat dan dekorasi yang menawan, Hummingbird Eatery & Space menciptakan lingkungan yang cocok untuk berbagai kesempatan. Menu mereka mencakup beragam hidangan dari berbagai masakan, memenuhi selera setiap tamu. Pelayanan yang ramah dan atmosfer yang menyenangkan membuat setiap kunjungan menjadi pengalaman kuliner yang tak terlupakan. Dengan lokasi yang strategis, restoran ini menjadi pilihan ideal bagi mereka yang mencari kombinasi sempurna antara cita rasa makanan yang lezat dan suasana yang mengesankan.","{'lat':-6.8945221118113915, 'lng':107.6199675547503}",-6.894522112,107.6199676,https://maps.app.goo.gl/HKsyLWEQWZryVt5i9,https://lh5.googleusercontent.com/p/AF1QipOW4_HN73erdt72WHR0Jci7o6MZ1R26fwj8Ezct=w122-h92-k-no
24,Queen Restaurant,4.6,Chinese,"Lengkong, Kota Bandung","Restoran Chinese food ini terletak di Jalan Dalem Kaum. Meskipun sudah berdiri cukup lama, bangunan restoran ini tetap mempertahankan penampilannya yang klasik. Dengan dua lantai, restoran ini dihiasi dengan berbagai dekorasi khas oriental. Setiap kali memasuki restoran, aroma lezat masakan Chinese food langsung tercium, mengundang selera para pengunjung. Lantai 2 seringkali digunakan untuk pesta perkawinan. Beberapa masakan andalan di restoran ini termasuk leng pan atau hidangan dingin, sup asparagus kepiting, dan sate Shanghai.","{'lat':-6.91544231077843, 'lng':107.60732372790285}",-6.915442311,107.6073237,https://maps.app.goo.gl/Wn4drVbp2Lxqp9gw6,https://lh5.googleusercontent.com/p/AF1QipPGnTcWAIT944f2gfJUwbApEbBS75Sblmq_pJvK=w122-h92-k-no
25,Atmosphere Resort Café,4.5,Cafe,"Lengkong, Kota Bandung","Masakan internasional di area luas dengan kayu berpolesan, gazebo, dan taman rindang.","{'lat':-6.919626239490575, 'lng':107.61322418043166}",-6.919626239,107.6132242,https://maps.app.goo.gl/ozXEoJv9idndaXRd6,https://lh5.googleusercontent.com/p/AF1QipP8XgskLlbPB3Fe4J-goowBxwA4z4QY6djONEcf=w138-h92-k-no
26,Skyline Best View Resto,4.5,Indonesian,"Cimenyan, Kabupaten Bandung","Restoran luas & sejuk di lantai atas yang berpanorama indah dengan burger, kentang goreng, dan makanan lezat.","{'lat':-6.848912880214403, 'lng':107.63935475591639}",-6.84891288,107.6393548,https://maps.app.goo.gl/jifXLFvv1xcewAgXA,https://lh5.googleusercontent.com/p/AF1QipPBeVdvfiHqJcwCUJvCgxqdpvisj8Lag1kIHbq3=w122-h92-k-no
27,Parc de Ville Restaurant,4.9,Indonesian,"Sumur Bandung, Kota Bandung","Parc de Ville Restaurant berlokasikan di Jl. Merdeka no. 25-29 Best Western Premier La Grande Hotel, Bandung 40117 Indonesia. Rata-rata biaya yang diperlukan berkisaran Rp 5.000 / Orang, jam buka pada 6:00 - 23:00 dan merupakan Italia di area Bandung. Restoran ini memang adalah destinasi wisata kuliner di area Bandung. Di sini tersedia berbagai makanan enak and memang layak dikunjungi.","{'lat':-6.899124634930225, 'lng':107.60732372790285}",-6.899124635,107.6073237,https://maps.app.goo.gl/a7dzjYGWRUcv51Jo9,https://lh5.googleusercontent.com/p/AF1QipN3Hf76g1Y9rdIngzQx63M3APs13vVk7at_dMpO=w80-h106-k-no
28,Rijsttafel Resto,4.4,Indonesian,"Cicendo, Kota Bandung",Tempat makan yang menghidangkan aneka hidangan khas Belanda-Indonesia yang berkualitas dan buatan rumah.,"{'lat':-6.9007982686110525, 'lng':107.5976301273198}",-6.900798269,107.5976301,https://maps.app.goo.gl/SLuND4XEvW5t17kt9,https://lh5.googleusercontent.com/p/AF1QipPfOMrzN8kYaXq9DOCsW5KzokRhf59lXOtfsjEs=w122-h92-k-no
29,Sadrasa Kitchen & Bar,5,Western,"Bandung Wetan, Kota Bandung","Nikmati pilihan menu internasional dan lokal kami yang beragam dengan variasi ala carte. Menu ini mengutamakan bahan-bahan organik lokal dan mendukung keberlanjutan, sambil mempertahankan keaslian warisan lokal. Semua hidangan disajikan dengan sentuhan teknik memasak klasik, menawarkan pengalaman rasa terbaik dari masakan Indonesia-Sunda yang segar. Temukan juga ragam minuman pilihan yang disiapkan dengan antusiasme oleh bartender kami.","{'lat':-6.891593210184938, 'lng':107.62333924190962}",-6.89159321,107.6233392,https://maps.app.goo.gl/dEw9YqfuKYk8Tuks9,https://lh5.googleusercontent.com/p/AF1QipMidZxzG5xcO94yNPt_uWX4ivA90bdbPS6Lp36Y=w122-h92-k-no
30,Pago Restaurant,4.8,Cafe,"Lengkong, Kota Bandung","Pago Restaurant mengusung konsep dapur terbuka yang interaktif namun modern, menciptakan suasana santai. Dengan kapasitas hingga 198 orang, restoran ini menyajikan beragam pilihan prasmanan dan menu a la carte. Keunikan tempat makan ini terletak pada lima kios memasak live dengan konter yang menawarkan masakan Asia dan Internasional, disertai dengan berbagai opsi minuman menyegarkan.","{'lat':-6.913768728916549, 'lng':107.6203890156452}",-6.913768729,107.620389,https://maps.app.goo.gl/54EcZQMCZG7VMZH2A,https://lh5.googleusercontent.com/p/AF1QipM8l2OCOuULpUcON7H6BjfTCQEBcl7Uf2LtUh1y=w137-h92-k-no
31,The Square Restaurant Bandung,4.4,Western,"Bandung Wetan, Kota Bandung","Sebuah restoran yang berlokasi di Hotel Novotel, Lantai 1, Jl. Cihampelas No. 23 – 25, Cihampelas, Bandung. Restoran ini menyajikan berbagai menu Indonesia, Barat, dan Cina, Seperti nasi hainam, dim sum, roasted chicken, dan pizza²?. Restoran ini juga memiliki suasana yang nyaman dan bersih, dengan nuansa klasik dan musik live di malam hari. ","{'lat':-6.8987062255856895, 'lng':107.60437350163845}",-6.898706226,107.6043735,https://maps.app.goo.gl/R95FKL4ozDECc5zS7,https://lh5.googleusercontent.com/p/AF1QipNq1ItdT-Yza29BxF9xgFYpemq5DBFI12CLLSoH=w122-h92-k-no
32,Dapur Dahapati,4.5,Indonesian,"Coblong, Kota Bandung","Hidangan klasik seperti sup buntut, salad, dan iga di tempat santai dengan teras tertutup yang rindang.","{'lat':-6.878203715271188, 'lng':107.60437350163845}",-6.878203715,107.6043735,https://maps.app.goo.gl/kbU2hwJvXDMnDxkj9,https://lh5.googleusercontent.com/p/AF1QipPAbhIP3OObY2WqkhQ9o-PDex2qD0uejB7fYpHk=w122-h92-k-no
33,Cafe Bali,4.4,Cafe,"Bandung Wetan, Kota Bandung","Cafe yang telah beroperasi sejak tahun 1999 ini merupakan tempat yang ideal untuk acara berkumpul, pertemuan, arisan, atau waktu berkualitas bersama orang terkasih. Dengan kapasitas hingga 100 orang, Cafe Bali menyediakan fasilitas lengkap, termasuk live music, mushola, parkir, ruang VIP, smoking area, dan non-smoking area. Lokasinya yang strategis di Bandung membuatnya mudah diakses, menambah kenyamanan saat berkunjung.","{'lat':-6.907074342206919, 'lng':107.62923969443841}",-6.907074342,107.6292397,https://maps.app.goo.gl/wvMDzirVqAXtJ2Ae7,https://lh5.googleusercontent.com/p/AF1QipP9QbxbpOo0o5Gt-UpSXwCfX3AQuZBQXDQAcUUF=w122-h92-k-no
34,Belle Vue Roof Top 24 Hours French & Italian Bistro,4.6,Western,"Cidadap, Kota Bandung","Di Belle Vue Elevate, para pengunjung dapat menikmati keindahan pemandangan Kota Kembang dari ketinggian karena restoran ini berada di atap bangunan. Desain interior yang bergaya Renaissance dengan nuansa mewah akan menambahkan sentuhan romantis selama pengalaman kuliner di tempat ini. Terlebih lagi, kunjungan di malam hari akan memperindah pemandangan, menciptakan suasana yang semakin memukau.","{'lat':-6.839706817368053, 'lng':107.59805158821472}",-6.839706817,107.5980516,https://maps.app.goo.gl/g9hvXQcX3cNEB3ko7,https://lh3.googleusercontent.com/gps-proxy/AFm_dcRTMx_V3l1azrD5JmHYp0CvJQNpmfNcCJbXmjBAkq0upigQt55Rj2C1MXCwt7qLT1lxfT2MJkZ6LCq1-H3nSkbq5vuxt6a6CCqSCj3MTkfUOcqb4XWf6DA6O9j0gWFfyI-366jYMpPQSdsNg5YLAufds7VtaBOjoKXWzbOhIRg2Dfkcvya0Hooycg=w216-h92-k-no
35,Steak Ranjang Dipatiukur - Steak Enak di Bandung,4.4,Steak,"Coblong, Kota Bandung","Restoran simpel yang menyajikan hidangan daging klasik, plus ayam & spageti.","{'lat':-6.884061665782935, 'lng':107.61954609385539}",-6.884061666,107.6195461,https://maps.app.goo.gl/n4sQUhKH77g8DQkM8,https://lh5.googleusercontent.com/p/AF1QipO2KpcWbBophdAWWM-fickewHM8eqleyGRBUVll=w204-h92-k-no
36,Al Jazeerah Signature Middle East Restaurant And Cafe Bandung,4.4,Indonesian,"Bandung Wetan, Kota Bandung","Kari, hidangan nasi & makanan pembuka tradisional lainnya ditawarkan di interior yang luas dan keren.","{'lat':-6.899124634930225, 'lng':107.62628946817402}",-6.899124635,107.6262895,https://maps.app.goo.gl/H7JXpURZq6exjUKRA,https://lh5.googleusercontent.com/p/AF1QipOHYjwBMY7ABEDQUx_p9mH0Ifdi9EjQo5rgjr-Q=w122-h92-k-no
37,Mie Rica Kejaksaan,4.4,Indonesian,"Sumur Bandung, Kota Bandung","Mie Rica Kejaksaan telah menjadi bagian dari kuliner selama lebih dari 32 tahun. Nama ""mie rica"" diambil dari salah satu menu andalannya, yakni mie rica dengan daging B2. Untuk yang mencari mie halal, tenang saja, tersedia opsi tersebut di sini. Keistimewaan mie ini terlihat pada bentuknya yang bulat dan cukup besar, mirip dengan mie goreng. Teksturnya tak diragukan lagi, kenyal dan lembut di mulut, terutama setelah dicampur dengan bumbu dan topping khasnya. Pilihan menu mie meliputi mie ayam, mie caciang, mie rica B2, mie rica ayam, mie pedas udang goreng, mie pedas casao, dan mie iga sapi. Untuk variasi, kamu juga dapat mengganti mie dengan bihun sesuai selera.","{'lat':-6.908329546935115, 'lng':107.60521642342827}",-6.908329547,107.6052164,https://maps.app.goo.gl/1nAMoKfHhkPi4F416,https://lh5.googleusercontent.com/p/AF1QipOTZIlGOGrxvSkzsmX0cvESKyHd7aRdEaJ_CV0R=w147-h92-k-no
38,WaLe Warung Lela,4.5,Indonesian,"Cibeunying Kaler, Kota Bandung","Warung Lela, atau yang biasa disebut Wale, adalah restoran mie yang telah lama menjadi populer di Bandung. Ketenarannya tidak hanya di kalangan warga Bandung, tetapi juga mencakup wisatawan dari luar kota. Spesialisasi mereka melibatkan menu yamien, mie baso, yahun, dan mie ayam. Selain variasi mie, Wale juga menyajikan sop buntut, sop ayam, semur lidah, nasi tim, dan berbagai camilan lainnya.","{'lat':-6.863976963364571, 'lng':107.63092553801809}",-6.863976963,107.6309255,https://maps.app.goo.gl/WfSbchCsazSu9y298,https://lh5.googleusercontent.com/p/AF1QipPFzdYhmGII6kh0SN2x3f5A_WemLH55w6_UREu4=w163-h92-k-no
39,Tilu Kitchen and Patisserie,4.6,Western,"Riau, Kota Bandung","Restoran luas bernuansa hangat dengan camilan internasional, makanan penutup gaya Eropa, dan halaman.","{'lat':-6.8945221118113915, 'lng':107.61828171117064}",-6.894522112,107.6182817,https://maps.app.goo.gl/Xj9g9jJM8wZbhuLi9,https://lh5.googleusercontent.com/p/AF1QipOCwWktlCwIal2hqQq1oT-Bi0fFv7ej4-LyLcFI=w163-h92-k-no
40,Bandung Suki,4.4,Korean,"Sumur Bandung, Kota Bandung","Restoran Bandung Suki, yang telah berdiri selama 13 tahun sejak tahun 2006, merupakan salah satu restoran suki ternama di Kota Bandung. Fokus utama restoran ini adalah menyajikan Sukiyaki sebagai menu utama, dan juga menawarkan pilihan menu lainnya seperti Dimsum dan Chinese Food.","{'lat':-6.905819134147613, 'lng':107.6090095714825}",-6.905819134,107.6090096,https://maps.app.goo.gl/QPNR7g4NuPo9kPjUA,https://lh5.googleusercontent.com/p/AF1QipMl0ILYXHoCPgYuamZek5PpqLN6A7j2Abbow9UK=w122-h92-k-no
41,de sanirasa - Restoran Nusantara Bandung,4.9,Sundanese,"Sukajadi, Kota Bandung","Restoran penuh cahaya yang menawarkan masakan Sunda klasik, plus teras rindang.","{'lat':-6.876948430759986, 'lng':107.60142327537403}",-6.876948431,107.6014233,https://maps.app.goo.gl/m9jLY44ZjNjPz8bBA,https://lh5.googleusercontent.com/p/AF1QipMy-zOg_UrJKDUMH2BMPbJ1CifkMvDfWI6kIjsX=w163-h92-k-no
42,Jing Paradise Chinese Fine Dining Restaurant,4.6,Chinese,"Sukasari, Kota Bandung",Santaplah hidangan Cina terbaik di Jing Paradise Chinese Fine Dining yang dipadukan dengan sentuhan modern terbaik. Jing Paradise menawarkan ruang VIP untuk makan siang bisnis atau pertemuan eksekutif Anda. Tempat ini juga cocok untuk merayakan pernikahan atau acara spesial Anda.,"{'lat':-6.845146785055598, 'lng':107.5951013619503}",-6.845146785,107.5951014,https://maps.app.goo.gl/JRE9mftL2zKU1p2SA,https://lh5.googleusercontent.com/p/AF1QipOW9JFrgNbKNRjdv_g60Uzxx_65Rv9bEhDD9Wr2=w122-h92-k-no
43,"Marugame Udon, Riau Bandung",4.6,Japanese,"Bandung Wetan, Kota Bandung","Restoran Marugame Udon di Riau, Bandung, sangat direkomendasikan bagi para penggemar udon. Restoran ini menyediakan area parkir yang luas untuk mobil dan motor, serta memiliki ruang indoor dan outdoor yang bersih dan luas. Menu yang ditawarkan mencakup beragam pilihan udon atau nasi, dengan opsi untuk menambahkan makanan pendamping seperti shumay, nori, chicken katsu, dan lainnya dengan tambahan biaya.","{'lat':-6.899961452510137, 'lng':107.62713238996385}",-6.899961453,107.6271324,https://maps.app.goo.gl/zNUnyFi5wyLPQP6y5,https://lh5.googleusercontent.com/p/AF1QipMgeQbm36SzJurgkysO5PRSK1qIZuZXvHwrrSW7=w80-h106-k-no
